,states,f1_scores,accuracy_scores,time,cms,rocs
0,Linear_SVM:RAW:0.41,0.7024935151531,0.6208,0.4102468490600586,"[[0.59431072 0.40568928]
 [0.09767442 0.90232558]]","(array([0.        , 0.40568928, 1.        ]), array([0.        , 0.90232558, 1.        ]), array([2, 1, 0]))"
1,Linear_SVM:PCA:0.05,0.7106367295204211,0.6308,0.04970812797546387,"[[0.60350109 0.39649891]
 [0.07906977 0.92093023]]","(array([0.        , 0.39649891, 1.        ]), array([0.        , 0.92093023, 1.        ]), array([2, 1, 0]))"
2,Linear_SVM:LLE:33.50,0.7299888628330217,0.654,33.49835824966431,"[[0.64595186 0.35404814]
 [0.26046512 0.73953488]]","(array([0.        , 0.35404814, 1.        ]), array([0.        , 0.73953488, 1.        ]), array([2, 1, 0]))"
3,Linear_SVM:MLLE:35.02,0.7218273942055571,0.644,35.02104568481445,"[[0.62538293 0.37461707]
 [0.15813953 0.84186047]]","(array([0.        , 0.37461707, 1.        ]), array([0.        , 0.84186047, 1.        ]), array([2, 1, 0]))"
4,RBF_SVM:RAW:6.42,0.872932079414838,0.914,6.4156105518341064,"[[1. 0.]
 [1. 0.]]","(array([0., 1.]), array([0., 1.]), array([1, 0]))"
5,RBF_SVM:PCA:5.72,0.872932079414838,0.914,5.721832275390625,"[[1. 0.]
 [1. 0.]]","(array([0., 1.]), array([0., 1.]), array([1, 0]))"
6,RBF_SVM:LLE:36.79,0.8998702035811575,0.9016,36.789045572280884,"[[0.94967177 0.05032823]
 [0.60930233 0.39069767]]","(array([0.        , 0.05032823, 1.        ]), array([0.        , 0.39069767, 1.        ]), array([2, 1, 0]))"
7,RBF_SVM:MLLE:38.12,0.8907989081804709,0.8844,38.11648893356323,"[[0.92341357 0.07658643]
 [0.53023256 0.46976744]]","(array([0.        , 0.07658643, 1.        ]), array([0.        , 0.46976744, 1.        ]), array([2, 1, 0]))"
8,KNN:RAW:0.32,0.8887322328789261,0.9156,0.31561994552612305,"[[0.9916849  0.0083151 ]
 [0.89302326 0.10697674]]","(array([0.       , 0.0083151, 1.       ]), array([0.        , 0.10697674, 1.        ]), array([2, 1, 0]))"
9,KNN:PCA:0.34,0.8945788426904706,0.9176,0.3437068462371826,"[[0.98993435 0.01006565]
 [0.85116279 0.14883721]]","(array([0.        , 0.01006565, 1.        ]), array([0.        , 0.14883721, 1.        ]), array([2, 1, 0]))"
10,KNN:LLE:33.76,0.8958363196125909,0.9168,33.75689911842346,"[[0.98730853 0.01269147]
 [0.83255814 0.16744186]]","(array([0.        , 0.01269147, 1.        ]), array([0.        , 0.16744186, 1.        ]), array([2, 1, 0]))"
11,KNN:MLLE:35.35,0.89338211159154,0.9152,35.34842658042908,"[[0.9868709  0.0131291 ]
 [0.84651163 0.15348837]]","(array([0.       , 0.0131291, 1.       ]), array([0.        , 0.15348837, 1.        ]), array([2, 1, 0]))"
12,GMM:RAW:0.15,0.15327599722484636,0.1488,0.14910459518432617,"[[0.08490153 0.91509847]
 [0.17209302 0.82790698]]","(array([0.        , 0.91509847, 1.        ]), array([0.        , 0.82790698, 1.        ]), array([2, 1, 0]))"
13,GMM:PCA:0.09,0.8659390907290766,0.8636,0.08640623092651367,"[[0.92166302 0.07833698]
 [0.75348837 0.24651163]]","(array([0.        , 0.07833698, 1.        ]), array([0.        , 0.24651163, 1.        ]), array([2, 1, 0]))"
14,GMM:LLE:33.56,0.8708774444802829,0.896,33.55749297142029,"[[0.9750547  0.0249453 ]
 [0.94418605 0.05581395]]","(array([0.       , 0.0249453, 1.       ]), array([0.        , 0.05581395, 1.        ]), array([2, 1, 0]))"
15,GMM:MLLE:35.04,0.8746664921528267,0.9116,35.038750648498535,"[[0.99562363 0.00437637]
 [0.98139535 0.01860465]]","(array([0.        , 0.00437637, 1.        ]), array([0.        , 0.01860465, 1.        ]), array([2, 1, 0]))"
